1 1|A a:49 b:0 c:81 d:0 e:50 f:24 g:32 h:32 i:0
1 1|A a:41 b:0 c:86 d:0 e:42 f:10 g:46 h:45 i:0
1 1|A a:54 b:0 c:83 d:0 e:54 f:0 g:29 h:29 i:0
5 5|A a:83 b:0 c:86 d:0 e:-4 f:14 g:3 h:92 i:88
1 1|A a:54 b:0 c:81 d:-5 e:54 f:0 g:27 h:27 i:0
1 1|A a:53 b:1 c:86 d:0 e:54 f:9 g:33 h:32 i:0
1 1|A a:37 b:0 c:81 d:0 e:16 f:16 g:44 h:65 i:22
1 1|A a:37 b:0 c:94 d:0 e:10 f:6 g:57 h:84 i:28
4 4|A a:55 b:0 c:78 d:0 e:16 f:5 g:23 h:63 i:40
1 1|A a:40 b:0 c:88 d:-2 e:38 f:0 g:48 h:50 i:2
1 1|A a:45 b:-5 c:77 d:0 e:44 f:-16 g:31 h:33 i:2
3 3|A a:37 b:-80 c:106 d:-1 e:30 f:1 g:69 h:75 i:6
1 1|A a:52 b:-3 c:87 d:0 e:52 f:0 g:35 h:35 i:0
1 1|A a:37 b:0 c:90 d:0 e:36 f:0 g:53 h:54 i:2
5 5|A a:78 b:0 c:82 d:0 e:-46 f:0 g:4 h:128 i:124
1 1|A a:53 b:0 c:86 d:-1 e:54 f:11 g:33 h:32 i:0
1 1|A a:42 b:2 c:84 d:0 e:42 f:0 g:42 h:43 i:0
1 1|A a:43 b:0 c:86 d:0 e:44 f:17 g:42 h:42 i:0
4 4|A a:55 b:0 c:77 d:-2 e:24 f:0 g:22 h:54 i:32
1 1|A a:45 b:-1 c:81 d:0 e:46 f:19 g:36 h:35 i:0
1 1|A a:55 b:-2 c:81 d:-8 e:54 f:-11 g:26 h:27 i:0
1 1|A a:44 b:0 c:75 d:0 e:44 f:15 g:31 h:31 i:0
1 1|A a:43 b:0 c:83 d:-2 e:44 f:28 g:40 h:39 i:0
1 1|A a:37 b:3 c:77 d:0 e:36 f:0 g:40 h:41 i:0
1 1|A a:42 b:0 c:79 d:-5 e:42 f:0 g:38 h:38 i:0
1 1|A a:44 b:1 c:76 d:0 e:44 f:6 g:32 h:32 i:0
1 1|A a:37 b:0 c:78 d:0 e:18 f:7 g:42 h:60 i:18
1 1|A a:44 b:0 c:76 d:1 e:42 f:-24 g:32 h:34 i:2
4 4|A a:55 b:0 c:79 d:-1 e:18 f:-3 g:23 h:61 i:38
5 5|A a:82 b:0 c:86 d:-2 e:-40 f:9 g:4 h:128 i:124
1 1|A a:41 b:92 c:78 d:0 e:38 f:0 g:37 h:39 i:2
1 1|A a:45 b:0 c:81 d:0 e:44 f:-8 g:36 h:37 i:2
1 1|A a:49 b:0 c:87 d:-3 e:46 f:-7 g:38 h:41 i:2
1 1|A a:37 b:0 c:76 d:6 e:28 f:-24 g:40 h:48 i:8
1 1|A a:45 b:0 c:80 d:0 e:46 f:8 g:35 h:34 i:0
1 1|A a:42 b:3 c:79 d:4 e:42 f:0 g:37 h:38 i:0
1 1|A a:46 b:3 c:86 d:0 e:46 f:2 g:40 h:39 i:0
1 1|A a:46 b:0 c:82 d:0 e:44 f:-18 g:36 h:38 i:2
1 1|A a:37 b:0 c:105 d:0 e:18 f:16 g:68 h:87 i:18
1 1|A a:44 b:3 c:79 d:6 e:44 f:2 g:35 h:35 i:0
4 4|A a:55 b:0 c:78 d:0 e:16 f:-2 g:23 h:63 i:40
1 1|A a:56 b:-2 c:84 d:0 e:54 f:-18 g:28 h:30 i:2
1 1|A a:56 b:0 c:86 d:-2 e:56 f:0 g:29 h:29 i:0
1 1|A a:37 b:0 c:78 d:0 e:16 f:2 g:42 h:63 i:22
1 1|A a:44 b:0 c:86 d:0 e:42 f:-24 g:42 h:44 i:2
1 1|A a:46 b:1 c:84 d:0 e:46 f:15 g:38 h:37 i:0
1 1|A a:53 b:2 c:86 d:0 e:54 f:0 g:32 h:32 i:0
1 1|A a:49 b:-1 c:78 d:0 e:50 f:6 g:29 h:29 i:0
1 1|A a:46 b:0 c:76 d:3 e:46 f:4 g:30 h:30 i:0
1 1|A a:45 b:0 c:79 d:0 e:46 f:20 g:33 h:32 i:0
1 1|A a:37 b:0 c:82 d:-7 e:34 f:0 g:45 h:48 i:4
1 1|A a:37 b:0 c:103 d:0 e:20 f:14 g:66 h:82 i:16
1 1|A a:41 b:0 c:83 d:3 e:38 f:-8 g:42 h:44 i:2
1 1|A a:41 b:-2 c:86 d:0 e:38 f:-17 g:45 h:47 i:2
1 1|A a:38 b:1 c:77 d:0 e:36 f:-20 g:39 h:41 i:2
1 1|A a:37 b:0 c:80 d:8 e:34 f:0 g:43 h:46 i:2
1 1|A a:50 b:3 c:82 d:-6 e:50 f:0 g:32 h:33 i:2
1 1|A a:48 b:0 c:83 d:-3 e:46 f:0 g:35 h:37 i:2
4 4|A a:56 b:0 c:93 d:-1 e:50 f:0 g:37 h:44 i:6
1 1|A a:42 b:0 c:77 d:-19 e:42 f:0 g:35 h:36 i:2
1 1|A a:50 b:-2 c:81 d:0 e:50 f:0 g:32 h:32 i:0
1 1|A a:42 b:4 c:86 d:1 e:42 f:0 g:44 h:45 i:2
4 4|A a:56 b:0 c:77 d:0 e:-4 f:-9 g:21 h:82 i:62
1 1|A a:49 b:0 c:82 d:0 e:46 f:-3 g:33 h:35 i:2
1 1|A a:43 b:-2 c:109 d:0 e:42 f:0 g:66 h:67 i:2
1 1|A a:57 b:0 c:81 d:6 e:56 f:0 g:24 h:24 i:0
1 1|A a:41 b:0 c:93 d:0 e:42 f:2 g:52 h:52 i:0
1 1|A a:45 b:1 c:87 d:4 e:44 f:0 g:42 h:43 i:2
5 5|A a:102 b:0 c:103 d:0 e:72 f:6 g:1 h:31 i:30
1 1|A a:54 b:0 c:87 d:-7 e:54 f:0 g:33 h:33 i:0
1 1|A a:44 b:0 c:86 d:-4 e:44 f:2 g:42 h:42 i:0
1 1|A a:36 b:-1 c:82 d:0 e:36 f:0 g:46 h:46 i:0
1 1|A a:50 b:4 c:88 d:6 e:50 f:0 g:37 h:39 i:2
1 1|A a:44 b:4 c:85 d:0 e:42 f:-21 g:41 h:44 i:2
1 1|A a:44 b:0 c:82 d:0 e:44 f:0 g:38 h:38 i:0
1 1|A a:49 b:0 c:88 d:0 e:50 f:17 g:39 h:39 i:0
1 1|A a:37 b:0 c:78 d:0 e:20 f:15 g:42 h:57 i:16
1 1|A a:37 b:0 c:104 d:-4 e:16 f:-18 g:67 h:88 i:22
1 1|A a:37 b:0 c:104 d:0 e:18 f:11 g:66 h:86 i:20
1 1|A a:37 b:0 c:98 d:1 e:30 f:-21 g:61 h:67 i:6
1 1|A a:42 b:0 c:86 d:6 e:42 f:0 g:43 h:44 i:2
1 1|A a:37 b:0 c:80 d:0 e:20 f:8 g:43 h:59 i:16
1 1|A a:56 b:0 c:83 d:0 e:54 f:-24 g:27 h:29 i:2
1 1|A a:46 b:0 c:85 d:0 e:44 f:-29 g:39 h:41 i:2
1 1|A a:45 b:0 c:81 d:0 e:44 f:-9 g:36 h:37 i:2
1 1|A a:42 b:-2 c:78 d:0 e:42 f:0 g:36 h:37 i:0
1 1|A a:55 b:1 c:79 d:0 e:54 f:0 g:23 h:24 i:2
1 1|A a:37 b:0 c:83 d:0 e:6 f:-4 g:47 h:78 i:32
4 4|A a:56 b:0 c:97 d:0 e:52 f:-22 g:41 h:46 i:4
1 1|A a:37 b:0 c:83 d:0 e:34 f:29 g:46 h:49 i:4
1 1|A a:37 b:0 c:106 d:0 e:30 f:-6 g:69 h:75 i:6
1 1|A a:43 b:0 c:87 d:5 e:44 f:19 g:44 h:43 i:0
1 1|A a:53 b:0 c:79 d:0 e:52 f:-11 g:26 h:27 i:2
1 1|A a:38 b:3 c:94 d:5 e:38 f:1 g:56 h:55 i:0
5 5|A a:81 b:0 c:84 d:0 e:-14 f:-14 g:4 h:100 i:96
1 1|A a:42 b:3 c:107 d:4 e:42 f:0 g:65 h:66 i:0
1 1|A a:53 b:0 c:81 d:0 e:52 f:-20 g:28 h:29 i:2
1 1|A a:43 b:-1 c:79 d:0 e:44 f:21 g:35 h:35 i:0
1 1|A a:37 b:0 c:76 d:0 e:34 f:13 g:40 h:43 i:2
1 1|A a:37 b:0 c:77 d:0 e:-2 f:-2 g:41 h:80 i:40
1 1|A a:37 b:0 c:81 d:0 e:38 f:4 g:44 h:43 i:0
1 1|A a:37 b:0 c:80 d:0 e:24 f:21 g:43 h:57 i:14
4 4|A a:55 b:0 c:79 d:0 e:16 f:0 g:23 h:63 i:40
1 1|A a:51 b:-3 c:81 d:0 e:52 f:0 g:30 h:30 i:0
1 1|A a:49 b:0 c:77 d:0 e:50 f:8 g:28 h:28 i:0
1 1|A a:37 b:0 c:92 d:-2 e:12 f:0 g:55 h:79 i:24
1 1|A a:41 b:0 c:78 d:0 e:42 f:25 g:37 h:37 i:0
1 1|A a:37 b:0 c:94 d:0 e:10 f:9 g:57 h:84 i:28
1 1|A a:38 b:1 c:76 d:0 e:38 f:3 g:37 h:37 i:0
1 1|A a:49 b:1 c:81 d:0 e:46 f:-11 g:33 h:35 i:2
1 1|A a:37 b:-1 c:106 d:-3 e:36 f:-6 g:69 h:69 i:0
1 1|A a:37 b:0 c:92 d:0 e:6 f:-1 g:55 h:86 i:32
1 1|A a:50 b:5 c:107 d:1 e:50 f:0 g:57 h:58 i:0
1 1|A a:37 b:0 c:104 d:0 e:36 f:-8 g:67 h:68 i:2
1 1|A a:46 b:1 c:87 d:5 e:46 f:0 g:41 h:41 i:0
1 1|A a:37 b:0 c:103 d:0 e:20 f:27 g:66 h:82 i:16
1 1|A a:46 b:1 c:81 d:0 e:44 f:-23 g:35 h:37 i:2
1 1|A a:41 b:0 c:86 d:0 e:42 f:4 g:45 h:44 i:0
5 5|A a:84 b:0 c:88 d:0 e:-2 f:-27 g:3 h:90 i:88
1 1|A a:52 b:0 c:87 d:0 e:52 f:0 g:35 h:35 i:0
1 1|A a:48 b:-1 c:86 d:-2 e:46 f:0 g:39 h:40 i:2
1 1|A a:37 b:0 c:81 d:0 e:34 f:0 g:45 h:48 i:2
1 1|A a:41 b:0 c:83 d:0 e:42 f:14 g:41 h:41 i:0
1 1|A a:37 b:0 c:81 d:0 e:12 f:-26 g:44 h:68 i:24
1 1|A a:57 b:1 c:91 d:0 e:56 f:0 g:34 h:34 i:0
1 1|A a:44 b:-2 c:93 d:-4 e:44 f:0 g:49 h:49 i:0
1 1|A a:56 b:0 c:81 d:0 e:54 f:-6 g:25 h:27 i:2
1 1|A a:43 b:-1 c:86 d:0 e:44 f:6 g:42 h:42 i:0
4 4|A a:55 b:2 c:78 d:-5 e:42 f:-1 g:23 h:37 i:14
1 1|A a:37 b:1 c:80 d:0 e:34 f:10 g:43 h:46 i:4
1 1|A a:49 b:0 c:86 d:-1 e:50 f:2 g:38 h:37 i:0
1 1|A a:37 b:0 c:98 d:0 e:30 f:5 g:61 h:67 i:6
1 1|A a:56 b:0 c:96 d:0 e:54 f:16 g:40 h:42 i:2
1 1|A a:37 b:0 c:77 d:0 e:-20 f:-3 g:41 h:98 i:58
1 1|A a:49 b:0 c:88 d:0 e:46 f:-8 g:39 h:41 i:2
5 5|A a:79 b:-1 c:83 d:0 e:-46 f:0 g:5 h:130 i:126
1 1|A a:56 b:3 c:92 d:0 e:56 f:14 g:36 h:35 i:0
1 1|A a:37 b:1 c:98 d:0 e:30 f:-7 g:61 h:67 i:6
1 1|A a:42 b:-5 c:81 d:-1 e:42 f:0 g:40 h:40 i:0
1 1|A a:37 b:0 c:77 d:0 e:24 f:-24 g:40 h:54 i:14
1 1|A a:56 b:0 c:96 d:0 e:56 f:25 g:40 h:39 i:0
1 1|A a:43 b:0 c:86 d:-1 e:44 f:31 g:43 h:42 i:0
1 1|A a:53 b:1 c:82 d:0 e:54 f:23 g:29 h:28 i:0
1 1|A a:48 b:0 c:80 d:0 e:46 f:-6 g:32 h:34 i:2
4 4|A a:55 b:0 c:95 d:-4 e:42 f:-21 g:40 h:54 i:14
4 4|A a:56 b:0 c:77 d:0 e:8 f:-29 g:22 h:70 i:48
1 1|A a:37 b:0 c:76 d:62 e:24 f:1 g:39 h:53 i:14
1 1|A a:39 b:0 c:80 d:3 e:38 f:0 g:41 h:41 i:0
1 1|A a:50 b:1 c:87 d:-1 e:50 f:0 g:37 h:38 i:0
1 1|A a:49 b:0 c:77 d:0 e:46 f:-23 g:28 h:30 i:2
1 1|A a:37 b:3 c:83 d:0 e:36 f:0 g:45 h:46 i:2
1 1|A a:56 b:0 c:86 d:0 e:54 f:-12 g:31 h:32 i:2
1 1|A a:42 b:3 c:90 d:0 e:42 f:0 g:48 h:48 i:0
1 1|A a:41 b:4 c:79 d:0 e:42 f:12 g:38 h:38 i:0
1 1|A a:37 b:-1 c:104 d:0 e:18 f:8 g:67 h:86 i:18
1 1|A a:37 b:0 c:78 d:3 e:0 f:0 g:42 h:78 i:36
4 4|A a:55 b:0 c:82 d:0 e:-40 f:-2 g:26 h:123 i:96
1 1|A a:55 b:2 c:81 d:4 e:54 f:0 g:25 h:26 i:2
1 1|A a:49 b:-2 c:84 d:0 e:50 f:8 g:36 h:35 i:0
1 1|A a:48 b:-2 c:78 d:0 e:46 f:0 g:30 h:32 i:2
1 1|A a:54 b:-3 c:78 d:0 e:54 f:0 g:24 h:24 i:0
1 1|A a:44 b:0 c:79 d:0 e:44 f:9 g:35 h:35 i:0
1 1|A a:41 b:0 c:86 d:0 e:38 f:-15 g:45 h:47 i:2
1 1|A a:44 b:-2 c:84 d:7 e:44 f:0 g:40 h:41 i:0
1 1|A a:37 b:0 c:77 d:2 e:36 f:-14 g:39 h:41 i:2
1 1|A a:46 b:0 c:79 d:2 e:44 f:-24 g:33 h:35 i:2
4 4|A a:56 b:-1 c:95 d:0 e:44 f:0 g:40 h:51 i:12
1 1|A a:37 b:0 c:78 d:8 e:18 f:15 g:42 h:60 i:18
1 1|A a:37 b:0 c:77 d:0 e:6 f:-9 g:40 h:72 i:32
1 1|A a:47 b:3 c:87 d:7 e:46 f:0 g:40 h:41 i:0
1 1|A a:41 b:0 c:79 d:0 e:38 f:-8 g:38 h:40 i:2
1 1|A a:47 b:0 c:78 d:5 e:46 f:0 g:31 h:32 i:0
1 1|A a:41 b:-5 c:81 d:0 e:38 f:-17 g:41 h:43 i:2
1 1|A a:37 b:0 c:95 d:0 e:10 f:3 g:58 h:84 i:26
1 1|A a:46 b:0 c:86 d:0 e:46 f:22 g:41 h:40 i:0
1 1|A a:49 b:-5 c:86 d:0 e:46 f:-29 g:38 h:40 i:2
4 4|A a:56 b:0 c:79 d:2 e:0 f:1 g:24 h:79 i:56
1 1|A a:47 b:0 c:86 d:-3 e:46 f:-5 g:39 h:39 i:0
1 1|A a:47 b:0 c:83 d:4 e:46 f:0 g:35 h:36 i:0
1 1|A a:41 b:-1 c:77 d:0 e:38 f:-27 g:36 h:38 i:2
4 4|A a:55 b:0 c:97 d:2 e:50 f:0 g:41 h:48 i:6
1 1|A a:37 b:0 c:104 d:0 e:36 f:-6 g:67 h:68 i:2
1 1|A a:44 b:6 c:107 d:0 e:44 f:2 g:63 h:63 i:0
1 1|A a:45 b:-5 c:77 d:0 e:44 f:-1 g:32 h:34 i:2
5 5|A a:82 b:2 c:86 d:0 e:-6 f:0 g:3 h:94 i:90
1 1|A a:43 b:0 c:84 d:0 e:42 f:-16 g:41 h:43 i:2
4 4|A a:55 b:0 c:77 d:0 e:6 f:-12 g:22 h:72 i:50
1 1|A a:55 b:0 c:81 d:6 e:54 f:0 g:26 h:27 i:0
1 1|A a:37 b:0 c:74 d:0 e:34 f:10 g:37 h:41 i:4
1 1|A a:39 b:-5 c:77 d:0 e:38 f:0 g:39 h:39 i:0
1 1|A a:44 b:0 c:88 d:0 e:44 f:9 g:44 h:44 i:0
5 5|A a:81 b:0 c:84 d:0 e:-20 f:24 g:4 h:105 i:102
1 1|A a:37 b:0 c:77 d:0 e:-24 f:-16 g:41 h:103 i:62
1 1|A a:44 b:3 c:76 d:-1 e:44 f:1 g:32 h:32 i:0
1 1|A a:52 b:-2 c:81 d:0 e:52 f:0 g:29 h:29 i:0
4 4|A a:56 b:4 c:97 d:0 e:50 f:0 g:41 h:48 i:6
1 1|A a:43 b:-2 c:89 d:0 e:42 f:-6 g:46 h:48 i:2
5 5|A a:85 b:-1 c:88 d:0 e:2 f:-13 g:3 h:86 i:82
1 1|A a:37 b:0 c:94 d:0 e:12 f:-20 g:57 h:81 i:24
5 5|A a:82 b:0 c:86 d:0 e:-10 f:14 g:3 h:96 i:92
1 1|A a:49 b:0 c:81 d:0 e:50 f:14 g:32 h:32 i:0
1 1|A a:37 b:0 c:76 d:0 e:24 f:-21 g:39 h:52 i:14
1 1|A a:45 b:2 c:81 d:-6 e:44 f:0 g:36 h:37 i:0
4 4|A a:56 b:0 c:82 d:7 e:-10 f:12 g:26 h:92 i:66
1 1|A a:43 b:0 c:83 d:-3 e:42 f:0 g:40 h:42 i:2
1 1|A a:51 b:2 c:82 d:0 e:52 f:11 g:31 h:30 i:0
1 1|A a:47 b:-5 c:79 d:2 e:46 f:0 g:32 h:32 i:0
4 4|A a:55 b:0 c:77 d:-6 e:10 f:5 g:22 h:67 i:46
1 1|A a:45 b:-3 c:79 d:0 e:44 f:0 g:34 h:35 i:2
1 1|A a:37 b:0 c:94 d:0 e:12 f:-8 g:57 h:81 i:24
1 1|A a:45 b:0 c:84 d:1 e:46 f:22 g:39 h:38 i:0
1 1|A a:43 b:-3 c:83 d:0 e:42 f:-8 g:40 h:42 i:2
1 1|A a:58 b:0 c:82 d:0 e:56 f:0 g:24 h:25 i:0
1 1|A a:51 b:0 c:86 d:-4 e:50 f:-4 g:36 h:37 i:2
1 1|A a:37 b:0 c:92 d:2 e:8 f:1 g:55 h:84 i:30
1 1|A a:37 b:0 c:82 d:5 e:20 f:3 g:45 h:61 i:16
1 1|A a:42 b:2 c:89 d:0 e:42 f:0 g:47 h:48 i:0
4 4|A a:55 b:0 c:78 d:6 e:10 f:6 g:23 h:68 i:46
1 1|A a:43 b:0 c:81 d:0 e:42 f:-24 g:38 h:40 i:2
1 1|A a:49 b:0 c:81 d:0 e:50 f:15 g:33 h:32 i:0
4 4|A a:56 b:0 c:79 d:-1 e:26 f:-2 g:23 h:53 i:30
1 1|A a:56 b:0 c:89 d:0 e:56 f:10 g:33 h:32 i:0
1 1|A a:44 b:0 c:81 d:0 e:44 f:2 g:37 h:37 i:0
4 4|A a:55 b:-1 c:78 d:0 e:44 f:0 g:23 h:34 i:12
1 1|A a:37 b:0 c:78 d:0 e:18 f:-3 g:42 h:60 i:18
1 1|A a:37 b:0 c:75 d:0 e:18 f:-18 g:38 h:57 i:18
1 1|A a:46 b:4 c:84 d:0 e:46 f:1 g:38 h:37 i:0
1 1|A a:37 b:0 c:77 d:0 e:28 f:942 g:40 h:48 i:8
1 1|A a:45 b:-1 c:86 d:-1 e:46 f:5 g:40 h:39 i:0
1 1|A a:49 b:0 c:78 d:7 e:50 f:0 g:29 h:29 i:0
1 1|A a:41 b:0 c:83 d:1 e:38 f:-9 g:42 h:44 i:2
1 1|A a:38 b:2 c:76 d:-3 e:38 f:-5 g:37 h:37 i:0
1 1|A a:40 b:-4 c:81 d:0 e:38 f:0 g:41 h:42 i:2
1 1|A a:37 b:-1 c:76 d:0 e:38 f:24 g:39 h:37 i:0
1 1|A a:37 b:0 c:81 d:-4 e:34 f:0 g:45 h:48 i:2
1 1|A a:37 b:0 c:92 d:0 e:16 f:19 g:54 h:76 i:22
1 1|A a:37 b:0 c:83 d:0 e:2 f:6 g:46 h:81 i:34
4 4|A a:53 b:4 c:77 d:0 e:-22 f:0 g:24 h:101 i:76
4 4|A a:55 b:0 c:81 d:-2 e:-14 f:-13 g:26 h:97 i:70
1 1|A a:46 b:2 c:77 d:0 e:46 f:17 g:31 h:30 i:0
1 1|A a:37 b:0 c:78 d:0 e:10 f:-27 g:42 h:68 i:26
4 4|A a:55 b:0 c:98 d:0 e:42 f:-3 g:42 h:57 i:14
1 1|A a:45 b:3 c:86 d:0 e:44 f:-6 g:40 h:42 i:2
1 1|A a:68 b:0 c:111 d:-4 e:68 f:0 g:43 h:44 i:0
4 4|A a:56 b:0 c:76 d:0 e:-4 f:30 g:20 h:81 i:62
1 1|A a:37 b:0 c:91 d:0 e:18 f:30 g:53 h:73 i:20
1 1|A a:41 b:2 c:86 d:0 e:38 f:-29 g:45 h:47 i:2
5 5|A a:85 b:0 c:88 d:0 e:2 f:-29 g:3 h:86 i:82
1 1|A a:46 b:-1 c:87 d:6 e:46 f:0 g:41 h:41 i:0
4 4|A a:55 b:0 c:77 d:0 e:6 f:-27 g:22 h:72 i:50
1 1|A a:45 b:0 c:87 d:0 e:44 f:-22 g:42 h:43 i:2
5 5|A a:82 b:0 c:86 d:2 e:-12 f:0 g:4 h:99 i:94
4 4|A a:56 b:0 c:95 d:-2 e:50 f:0 g:40 h:46 i:6
1 1|A a:52 b:0 c:86 d:0 e:54 f:31 g:33 h:32 i:0
1 1|A a:55 b:0 c:86 d:0 e:54 f:-3 g:31 h:32 i:2
1 1|A a:49 b:0 c:78 d:0 e:46 f:-15 g:29 h:32 i:2
1 1|A a:52 b:0 c:91 d:0 e:52 f:-4 g:38 h:39 i:0
1 1|A a:37 b:0 c:105 d:0 e:24 f:3 g:68 h:82 i:14
1 1|A a:58 b:0 c:86 d:2 e:56 f:0 g:29 h:30 i:0
1 1|A a:55 b:-3 c:81 d:0 e:54 f:0 g:25 h:26 i:2
4 4|A a:56 b:0 c:78 d:0 e:12 f:-3 g:22 h:65 i:42
5 5|A a:105 b:-1 c:106 d:-1 e:70 f:0 g:1 h:36 i:34
4 4|A a:56 b:0 c:78 d:3 e:-22 f:0 g:22 h:101 i:80
1 1|A a:38 b:0 c:97 d:4 e:38 f:1 g:59 h:58 i:0
5 5|A a:85 b:-4 c:88 d:0 e:2 f:3 g:3 h:86 i:82
1 1|A a:49 b:0 c:86 d:0 e:46 f:-28 g:38 h:40 i:2
1 1|A a:37 b:0 c:100 d:0 e:38 f:22 g:63 h:62 i:0
1 1|A a:47 b:0 c:87 d:0 e:46 f:-1 g:40 h:41 i:0
1 1|A a:37 b:0 c:83 d:0 e:36 f:25 g:46 h:46 i:0
1 1|A a:37 b:0 c:104 d:6 e:18 f:0 g:66 h:86 i:20
1 1|A a:37 b:0 c:76 d:-4 e:28 f:-20 g:39 h:47 i:8
1 1|A a:55 b:2 c:89 d:0 e:54 f:0 g:34 h:35 i:0
1 1|A a:47 b:0 c:88 d:3 e:46 f:0 g:41 h:41 i:0
5 5|A a:79 b:0 c:83 d:0 e:-28 f:16 g:4 h:112 i:108
1 1|A a:47 b:4 c:85 d:6 e:46 f:0 g:38 h:39 i:0
4 4|A a:56 b:0 c:97 d:0 e:50 f:-28 g:41 h:48 i:6
1 1|A a:37 b:0 c:104 d:-14 e:28 f:0 g:67 h:75 i:8
1 1|A a:43 b:0 c:87 d:0 e:42 f:-10 g:44 h:46 i:2
1 1|A a:45 b:0 c:77 d:0 e:46 f:29 g:32 h:31 i:0
5 5|A a:83 b:0 c:86 d:-1 e:-4 f:10 g:3 h:92 i:88
4 4|A a:55 b:0 c:77 d:0 e:20 f:31 g:22 h:57 i:34
1 1|A a:44 b:2 c:77 d:0 e:44 f:0 g:33 h:34 i:0
1 1|A a:37 b:0 c:80 d:0 e:6 f:22 g:43 h:75 i:32
1 1|A a:38 b:3 c:93 d:2 e:28 f:3 g:55 h:64 i:10
1 1|A a:37 b:0 c:77 d:0 e:36 f:-18 g:40 h:41 i:2
1 1|A a:56 b:1 c:79 d:0 e:56 f:13 g:24 h:23 i:0
1 1|A a:52 b:0 c:88 d:0 e:54 f:31 g:35 h:33 i:0
5 5|A a:80 b:5 c:84 d:0 e:-38 f:0 g:4 h:123 i:118
1 1|A a:43 b:-1 c:83 d:0 e:44 f:25 g:39 h:39 i:0
1 1|A a:42 b:-2 c:77 d:7 e:42 f:0 g:34 h:35 i:2
1 1|A a:37 b:1 c:90 d:0 e:28 f:20 g:53 h:62 i:8
1 1|A a:49 b:2 c:81 d:0 e:50 f:1 g:31 h:32 i:0
4 4|A a:55 b:-2 c:98 d:0 e:46 f:10 g:42 h:51 i:8
1 1|A a:45 b:0 c:88 d:0 e:44 f:-15 g:42 h:44 i:2
1 1|A a:55 b:0 c:95 d:0 e:54 f:3 g:40 h:41 i:2
5 5|A a:101 b:0 c:102 d:0 e:72 f:11 g:1 h:29 i:28
4 4|A a:53 b:10 c:77 d:0 e:-22 f:0 g:25 h:101 i:76
1 1|A a:45 b:0 c:79 d:0 e:44 f:-14 g:34 h:35 i:2
1 1|A a:41 b:5 c:76 d:0 e:42 f:18 g:34 h:34 i:0
1 1|A a:37 b:0 c:81 d:0 e:36 f:-15 g:43 h:44 i:2
1 1|A a:41 b:1 c:79 d:0 e:42 f:4 g:38 h:37 i:0
1 1|A a:37 b:0 c:77 d:0 e:18 f:20 g:41 h:59 i:18
1 1|A a:42 b:2 c:89 d:3 e:42 f:0 g:47 h:48 i:0
1 1|A a:49 b:0 c:82 d:0 e:46 f:-12 g:33 h:35 i:2
1 1|A a:46 b:1 c:84 d:0 e:44 f:-19 g:38 h:40 i:2
1 1|A a:44 b:0 c:86 d:0 e:44 f:12 g:42 h:42 i:0
1 1|A a:56 b:1 c:92 d:0 e:54 f:21 g:36 h:38 i:2
1 1|A a:49 b:0 c:78 d:0 e:46 f:-30 g:29 h:32 i:2
1 1|A a:48 b:4 c:76 d:0 e:46 f:0 g:28 h:30 i:2
1 1|A a:51 b:0 c:88 d:0 e:50 f:-8 g:37 h:39 i:2
1 1|A a:47 b:-1 c:83 d:0 e:46 f:0 g:37 h:37 i:0
4 4|A a:55 b:0 c:79 d:0 e:10 f:13 g:23 h:68 i:46
1 1|A a:39 b:0 c:85 d:3 e:38 f:0 g:46 h:46 i:0
1 1|A a:55 b:-1 c:95 d:0 e:54 f:-6 g:40 h:41 i:2
1 1|A a:37 b:0 c:80 d:-5 e:8 f:0 g:43 h:72 i:28
4 4|A a:55 b:0 c:76 d:-1 e:-12 f:-10 g:21 h:89 i:68
1 1|A a:55 b:0 c:88 d:8 e:54 f:0 g:32 h:33 i:2
4 4|A a:55 b:0 c:82 d:2 e:-12 f:0 g:26 h:95 i:68
1 1|A a:42 b:3 c:77 d:1 e:42 f:0 g:35 h:36 i:0
4 4|A a:55 b:5 c:77 d:0 e:26 f:-7 g:22 h:52 i:30
1 1|A a:44 b:0 c:82 d:0 e:44 f:8 g:38 h:38 i:0
1 1|A a:38 b:2 c:75 d:0 e:36 f:-6 g:37 h:39 i:2
5 5|A a:71 b:1 c:76 d:4 e:-42 f:-5 g:4 h:119 i:116
1 1|A a:40 b:-2 c:88 d:0 e:38 f:0 g:48 h:49 i:2
1 1|A a:53 b:-3 c:86 d:0 e:54 f:9 g:33 h:32 i:0
4 4|A a:56 b:0 c:81 d:4 e:-4 f:0 g:25 h:86 i:62
1 1|A a:51 b:0 c:87 d:0 e:50 f:-10 g:36 h:38 i:2
1 1|A a:37 b:-2 c:76 d:0 e:36 f:-10 g:39 h:40 i:2
1 1|A a:50 b:0 c:77 d:-2 e:50 f:-3 g:27 h:28 i:0
4 4|A a:56 b:1 c:98 d:0 e:50 f:-29 g:42 h:49 i:6
1 1|A a:37 b:0 c:77 d:-4 e:-10 f:3 g:40 h:87 i:46
4 4|A a:56 b:4 c:76 d:0 e:-14 f:0 g:20 h:92 i:72
5 5|A a:82 b:3 c:86 d:0 e:-40 f:2 g:4 h:128 i:124
1 1|A a:42 b:2 c:78 d:0 e:42 f:0 g:37 h:37 i:0
1 1|A a:51 b:1 c:86 d:0 e:50 f:-13 g:35 h:37 i:2
